ParticipantID,Phase,Trial,TimeStamp_sec,Yaw_deg,Pitch_deg,TargetNumber,isCorrect
P001,HRTF_A,0,0.017,-11.42,-1.09,25,1
P001,HRTF_A,0,0.033,-11.43,-1.08,25,1
P001,HRTF_A,0,0.042,-11.45,-1.07,25,1
P001,HRTF_A,0,0.055,-11.47,-1.07,25,1
P001,HRTF_A,0,0.069,-11.48,-1.07,25,1
P001,HRTF_A,0,0.085,-11.50,-1.07,25,1
P001,HRTF_A,0,0.097,-11.50,-1.06,25,1
P001,HRTF_A,0,0.111,-11.51,-1.06,25,1
P001,HRTF_A,0,0.125,-11.50,-1.05,25,1
P001,HRTF_A,0,0.139,-11.51,-1.04,25,1
P001,HRTF_A,0,0.153,-11.51,-1.02,25,1
P001,HRTF_A,0,0.166,-11.50,-1.01,25,1
P001,HRTF_A,0,0.180,-11.49,-1.00,25,1
P001,HRTF_A,0,0.194,-11.48,-1.00,25,1
P001,HRTF_A,0,0.209,-11.47,-0.99,25,1
P001,HRTF_A,0,0.222,-11.48,-0.99,25,1
P001,HRTF_A,0,0.236,-11.48,-0.98,25,1
P001,HRTF_A,0,0.250,-11.49,-0.98,25,1
P001,HRTF_A,0,0.264,-11.50,-0.98,25,1
P001,HRTF_A,0,0.278,-11.52,-0.98,25,1
P001,HRTF_A,0,0.291,-11.55,-0.97,25,1
P001,HRTF_A,0,0.305,-11.56,-0.99,25,1
P001,HRTF_A,0,0.320,-11.58,-1.01,25,1
P001,HRTF_A,0,0.333,-11.59,-1.02,25,1
P001,HRTF_A,0,0.347,-11.59,-1.02,25,1
P001,HRTF_A,0,0.361,-11.59,-1.03,25,1
P001,HRTF_A,0,0.375,-11.59,-1.04,25,1
P001,HRTF_A,0,0.389,-11.58,-1.04,25,1
P001,HRTF_A,0,0.403,-11.56,-1.03,25,1
P001,HRTF_A,0,0.417,-11.55,-1.02,25,1
P001,HRTF_A,0,0.431,-11.52,-1.01,25,1
P001,HRTF_A,0,0.444,-11.52,-1.01,25,1
P001,HRTF_A,0,0.458,-11.52,-1.03,25,1
P001,HRTF_A,0,0.472,-11.54,-1.02,25,1
P001,HRTF_A,0,0.486,-11.56,-1.01,25,1
P001,HRTF_A,0,0.500,-11.58,-1.00,25,1
P001,HRTF_A,0,0.514,-11.59,-0.98,25,1
P001,HRTF_A,0,0.528,-11.62,-0.97,25,1
P001,HRTF_A,0,0.542,-11.66,-0.97,25,1
P001,HRTF_A,0,0.555,-11.69,-0.96,25,1
P001,HRTF_A,0,0.569,-11.73,-0.95,25,1
P001,HRTF_A,0,0.583,-11.76,-0.91,25,1
P001,HRTF_A,0,0.597,-11.78,-0.88,25,1
P001,HRTF_A,0,0.611,-11.84,-0.87,25,1
P001,HRTF_A,0,0.625,-11.91,-0.86,25,1
P001,HRTF_A,0,0.639,-12.01,-0.86,25,1
P001,HRTF_A,0,0.653,-12.13,-0.85,25,1
P001,HRTF_A,0,0.667,-12.27,-0.87,25,1
P001,HRTF_A,0,0.680,-12.43,-0.88,25,1
P001,HRTF_A,0,0.694,-12.67,-0.93,25,1
P001,HRTF_A,0,0.708,-12.91,-0.98,25,1
P001,HRTF_A,0,0.722,-13.27,-1.11,25,1
P001,HRTF_A,0,0.736,-13.58,-1.23,25,1
P001,HRTF_A,0,0.750,-13.89,-1.40,25,1
P001,HRTF_A,0,0.764,-14.21,-1.53,25,1
P001,HRTF_A,0,0.778,-14.55,-1.71,25,1
P001,HRTF_A,0,0.792,-14.92,-2.05,25,1
P001,HRTF_A,0,0.805,-15.31,-2.60,25,1
P001,HRTF_A,0,0.819,-15.73,-3.42,25,1
P001,HRTF_A,0,0.833,-16.16,-4.38,25,1
P001,HRTF_A,0,0.847,-16.64,-5.56,25,1
P001,HRTF_A,0,0.861,-17.15,-6.86,25,1
P001,HRTF_A,0,0.875,-17.76,-8.67,25,1
P001,HRTF_A,0,0.889,-18.44,-10.68,25,1
P001,HRTF_A,0,0.903,-19.18,-12.99,25,1
P001,HRTF_A,0,0.917,-19.81,-15.06,25,1
P001,HRTF_A,0,0.931,-20.50,-17.04,25,1
P001,HRTF_A,0,0.944,-21.34,-18.97,25,1
P001,HRTF_A,0,0.958,-22.13,-20.88,25,1
P001,HRTF_A,0,0.972,-23.00,-22.73,25,1
P001,HRTF_A,0,0.986,-23.88,-24.20,25,1
P001,HRTF_A,0,1.000,-24.89,-25.30,25,1
P001,HRTF_A,0,1.014,-26.02,-26.08,25,1
P001,HRTF_A,0,1.028,-27.18,-26.61,25,1
P001,HRTF_A,0,1.042,-28.17,-27.13,25,1
P001,HRTF_A,0,1.055,-29.16,-27.32,25,1
P001,HRTF_A,0,1.069,-29.86,-27.51,25,1
P001,HRTF_A,0,1.083,-30.42,-27.73,25,1
P001,HRTF_A,0,1.097,-30.89,-27.99,25,1
P001,HRTF_A,0,1.111,-31.23,-28.24,25,1
P001,HRTF_A,0,1.125,-31.50,-28.50,25,1
P001,HRTF_A,0,1.139,-31.64,-28.71,25,1
P001,HRTF_A,0,1.153,-31.78,-28.88,25,1
P001,HRTF_A,0,1.166,-31.95,-29.12,25,1
P001,HRTF_A,0,1.180,-32.10,-29.35,25,1
P001,HRTF_A,0,1.195,-32.26,-29.59,25,1
P001,HRTF_A,0,1.208,-32.38,-29.82,25,1
P001,HRTF_A,0,1.222,-32.45,-29.98,25,1
P001,HRTF_A,0,1.236,-32.51,-30.19,25,1
P001,HRTF_A,0,1.250,-32.59,-30.37,25,1
P001,HRTF_A,0,1.264,-32.64,-30.59,25,1
P001,HRTF_A,0,1.278,-32.73,-30.79,25,1
P001,HRTF_A,0,1.291,-32.76,-31.00,25,1
P001,HRTF_A,0,1.305,-32.77,-31.21,25,1
P001,HRTF_A,0,1.319,-32.86,-31.41,25,1
P001,HRTF_A,0,1.333,-32.97,-31.57,25,1
P001,HRTF_A,0,1.347,-33.18,-31.69,25,1
P001,HRTF_A,0,1.361,-33.32,-31.83,25,1
P001,HRTF_A,0,1.375,-33.41,-31.95,25,1
