ParticipantID,AttemptNum,TargetColor,ChosenColor,IsCorrect,ReactionTime_sec
P003,1,Blue,Blue,1,3.1655
P003,2,Blue,Blue,1,1.7776
P003,3,Red,Red,1,2.1122
P003,4,Red,Red,1,12.2213
P003,5,Red,Red,1,2.3609
P003,6,Blue,Blue,1,1.7502
P003,7,Blue,Blue,1,2.0559
P003,8,Blue,Blue,1,1.3467
P003,9,Blue,Blue,1,1.4722
P003,10,Blue,Blue,1,2.0689
P003,11,Blue,Blue,1,2.3470
P003,12,Red,Red,1,1.8059
P003,13,Blue,Blue,1,1.6800
P003,14,Red,Red,1,1.4166
P003,15,Blue,Blue,1,0.9726
P003,16,Red,Red,1,2.0556
P003,17,Blue,Blue,1,1.4855
P003,18,Red,Red,1,1.8055
P003,19,Blue,Blue,1,1.0695
P003,20,Red,Red,1,1.9306
